date,pce,pop,psavert,uempmed,unemploy
2013-04-01,11281.1,315759.039,5.1,17.1,11760
2013-05-01,11321.6,315923.105,5.3,17.1,11654
2013-06-01,11344.4,316108.76,5.4,17,11751
2013-07-01,11372.6,316294.766,5.2,16.2,11335
2013-08-01,11406.6,316514.531,5.2,16.5,11279
2013-09-01,11445.9,316738.543,5.3,16.5,11270
2013-10-01,11498,316952.905,4.7,16.3,11136
2013-11-01,11562.5,317156.876,4.5,17.1,10787
2013-12-01,11593.2,317338.617,4.5,17.3,10404
2014-01-01,11578.8,317519.206,5.2,15.4,10202
2014-02-01,11636.9,317677.384,5.3,15.9,10349
2014-03-01,11722.3,317838.92,5.2,15.8,10380
2014-04-01,11762.3,318009.154,5.4,15.7,9702
2014-05-01,11807.3,318187.658,5.6,14.6,9859
2014-06-01,11861.7,318380.521,5.6,13.8,9460
2014-07-01,11904.4,318576.955,5.5,13.1,9608
2014-08-01,11983.7,318806.531,5.3,12.9,9599
2014-09-01,11991.4,319036.2,5.5,13.4,9262
2014-10-01,12064.7,319262.799,5.4,13.6,8990
2014-11-01,12083.9,319471.435,5.6,13,9090
2014-12-01,12096.1,319651.541,6,12.9,8717
2015-01-01,12066.7,319832.19,6.3,13.2,8885
2015-02-01,12116.6,319976.213,6.4,12.9,8599
2015-03-01,12176.1,320130.646,5.9,12,8515
2015-04-01,12209.1,320300.314,5.9,11.5,8550
2015-05-01,12275.4,320480.147,5.8,11.6,8834
2015-06-01,12307.9,320667.889,5.7,11.8,8247
2015-07-01,12364.9,320870.703,5.6,10.9,8167
2015-08-01,12396.2,321093.062,5.6,11.7,7992
2015-09-01,12386.4,321316.348,5.8,11.3,7907
2015-10-01,12394.9,321539.88,5.8,11.3,7922
2015-11-01,12423.2,321741.248,5.6,11,8000
2015-12-01,12452,321926.178,5.8,11,7907
2016-01-01,12478,322114.094,6.1,11.3,7627
2016-02-01,12554.5,322277.451,5.6,11.3,7702
2016-03-01,12537,322428.943,5.9,11.3,7961
2016-04-01,12611.5,322596.809,5.5,11.1,8067
2016-05-01,12652.7,322773.714,5.3,10.7,7652
2016-06-01,12731.2,322960.309,4.9,10.8,7744
2016-07-01,12756.7,323161.011,5.1,11.1,7641
2016-08-01,12788.1,323369.427,5.1,10.7,7784
2016-09-01,12846.6,323576.012,5.1,10.2,7953
2016-10-01,12867,323783.987,5.3,10.1,7811
2016-11-01,12893,323968.882,5.4,10.3,7553
2016-12-01,13005.9,324135.365,5,10.6,7521
2017-01-01,13063.7,324296.746,5.3,10.3,7468
2017-02-01,13088.4,324427.384,5.6,10.1,7379
2017-03-01,13139.9,324559.999,5.6,10.3,7073
2017-04-01,13169.2,324704.641,5.7,9.9,7089
2017-05-01,13171.9,324861.316,6.3,10.5,7000
2017-06-01,13225.2,325027.016,6,10,6873
2017-07-01,13263.3,325206.03,6,10.2,6892
2017-08-01,13294.6,325386.457,6.1,10.3,7082
2017-09-01,13417.3,325565.293,5.9,10.1,6854
2017-10-01,13447.5,325741.643,6,9.7,6700
2017-11-01,13540.6,325898.856,5.6,9.8,6774
2017-12-01,13666.1,326036.736,5,9.3,6632
2018-01-01,13703.3,326163.263,5.7,9.7,6489
2018-02-01,13738.7,326268.894,5.8,9.2,6581
2018-03-01,13793.2,326377.173,5.9,8.8,6472
2018-04-01,13838.4,326496.848,6,9.6,6459
2018-05-01,13905,326628.822,6,9.2,6196
2018-06-01,13930.4,326769.726,6.3,9,6447
2018-07-01,13974.8,326923.976,6.5,9.8,6195
2018-08-01,14014,327086.833,6.6,9.3,6156
2018-09-01,14017.8,327248.127,6.8,9.2,6073
2018-10-01,14083.1,327407.004,6.7,9.4,6211
2018-11-01,14162.9,327546.8,6.5,8.9,6115
2018-12-01,14051.6,327667.595,8.4,9.6,6389
2019-01-01,14088.4,327776.541,8.2,9.5,6475
2019-02-01,14115.5,327871.957,8.5,9.6,6136
2019-03-01,14240.1,327970.02,7.9,9.6,6202
2019-04-01,14278.3,328079.473,7.7,9.2,5961
2019-05-01,14340.8,328201.245,7.3,9.2,5930
2019-06-01,14391.2,328331.949,7.1,9.6,5935
2019-07-01,14471.8,328475.998,6.8,8.9,6061
2019-08-01,14525.7,328646.02,7,8.7,5945
2019-09-01,14555.6,328814.479,7.2,9.2,5753
2019-10-01,14584,328980.52,7.3,9,5871
2019-11-01,14678.6,329127.484,7.1,8.9,5868
2019-12-01,14741.3,329255.444,6.4,9.1,5853
2020-01-01,14815.7,329371.559,7.2,10,5842
2020-02-01,14810.7,329474.136,7.7,9.3,5729
2020-03-01,13793,329579.358,12.5,6,7209
2020-04-01,12228.3,331711.753,32,2.1,23090
2020-05-01,13251.4,331686.795,22.7,7.7,20933
2020-06-01,14027.1,331714.569,18.4,13.5,17658
2020-07-01,14285.1,331773.226,17.9,14.7,16391
2020-08-01,14428.4,331848.069,14,16.1,13498
2020-09-01,14655,331922.575,13.2,17.5,12573
2020-10-01,14702.5,332009.201,12.8,19,11012
2020-11-01,14675.8,332072.46,12.1,18.4,10713
2020-12-01,14801.8,332084.586,12,16.9,10772
2021-01-01,15047.3,332039.558,19.3,16.1,10196
2021-02-01,14948.2,331975.432,12.8,18.4,9992
2021-03-01,15657.6,331991.389,26.1,20.3,9734
2021-04-01,15854.1,332055.217,12.3,20.2,9801
2021-05-01,15890,332123.519,9.9,19.4,9250
2021-06-01,16108.5,332198.249,8.7,19.9,9547
2021-07-01,16150.8,332298.819,9.4,14.6,8770
2021-08-01,16305.6,332450.856,8.7,14.2,8288
2021-09-01,16398.9,332561.116,7.2,13.2,7659
2021-10-01,16613.8,332658.307,6.6,12.4,7244
2021-11-01,16741.6,332757.379,6.2,12.4,6733
2021-12-01,16799.2,332853.874,6.1,11.6,6305
2022-01-01,16888.6,332928.956,4.1,10,6549
2022-02-01,16999.7,332937.514,4.1,10,6279
2022-03-01,17203.6,333006.084,3.4,8.8,5993
2022-04-01,17310.5,333128.441,3.1,8.5,6034
2022-05-01,17384.8,333254.05,3.1,8.9,5966
2022-06-01,17550,333380.336,2.7,8.1,5984
2022-07-01,17556.4,333521.104,3.5,8.3,5783
2022-08-01,17692.2,333676.165,3.2,8.5,5983
2022-09-01,17804,333847.542,3,8.1,5755
2022-10-01,17915.1,334003.265,3,8,5950
2022-11-01,17892.5,334139.362,3.3,8.4,5956
2022-12-01,17943.6,334272.537,3.4,8.3,5698
2023-01-01,18229.6,334380.31,4.4,9.8,5719
2023-02-01,18296.5,334485.366,4.7,8.9,5962
2023-03-01,18282.6,334601.838,5.2,8.4,5866
2023-04-01,18363.8,334726.454,5.2,8.7,5715
2023-05-01,18407.8,334858.431,5.3,8.9,6117
2023-06-01,18485.4,334999.421,4.8,8.8,5997
2023-07-01,18595.4,335160.938,4.4,8.9,5904
2023-08-01,18651.6,335335.663,4.5,8.8,6340
2023-09-01,18791.5,335526.109,3.9,9.1,6347
2023-10-01,18826.8,335697.18,3.8,8.6,6443
2023-11-01,18903,335848.798,3.7,9,6262
2023-12-01,19013.7,336000.763,3.6,9.7,6268
2024-01-01,19028,336139.132,4,9.6,6124
2024-02-01,19136,336249.709,3.7,9.3,6458
2024-03-01,19263.7,336361.391,3.5,9.5,6429
2024-04-01,19302.7,336484.613,3.5,8.7,6492
2024-05-01,19386.4,336616.141,3.5,8.9,6649
2024-06-01,19444,336758.52,3.4,9.8,6811
